Pregunta,Respuesta
¿Está disponible el servicio de internet en mi área?,"Para verificar la disponibilidad del servicio en tu área, por favor contáctanos al 3168883324 a través de WhatsApp o llamada telefónica."
¿Cómo puedo verificar la cobertura de internet en mi domicilio?,Puedes verificar la cobertura de internet en tu domicilio contactándonos al 3168883324. Proporciona tu dirección completa y te confirmaremos la disponibilidad.
¿Qué velocidad de internet ofrecen en mi zona?,"Ofrecemos una variedad de planes con diferentes velocidades. Por ejemplo, nuestro Plan Mini ofrece 2,000 Kbps, el Plan Entretenimiento 3,000 Kbps, el Plan Teletrabajo 4,000 Kbps, y el Plan Universitario 6,000 Kbps. Contáctanos para conocer la mejor opción para tu zona."
¿Cuáles son los diferentes planes de internet que tienen disponibles?,"Ofrecemos los siguientes planes:
Plan Mini: $34,900/mes (2,000 Kbps)
Plan Entretenimiento: $39,900/mes (3,000 Kbps)
Plan Teletrabajo: $49,900/mes (4,000 Kbps)
Plan Universitario: $54,900/mes (6,000 Kbps)"
¿Cuánto cuesta cada plan de internet?,"Los precios de nuestros planes son los siguientes:
Plan Mini: $34,900/mes
Plan Entretenimiento: $39,900/mes
Plan Teletrabajo: $49,900/mes
Plan Universitario: $54,900/mes"
¿Ofrecen algún tipo de promoción o descuento para nuevos clientes?,"Sí, tenemos una oferta promocional por tiempo limitado. Los primeros 3 días del servicio son totalmente gratis."
¿Hay un contrato mínimo al adquirir un plan de internet?,"No, nuestros planes no requieren una cláusula de permanencia, excepto en algunos casos donde es de tan solo 3 meses."
¿Cuál es el proceso de instalación del servicio de internet?,"Para solicitar la instalación del servicio, contáctanos al 3168883324 y proporciona tus datos. Nuestro equipo técnico se encargará del proceso."
¿Cuánto tiempo tarda la instalación del internet?,La instalación del servicio de internet generalmente se realiza en un plazo de 4 a 5 días después de la solicitud.
¿Qué equipos se necesitan para el servicio de internet?,"Para el servicio de internet se requiere un módem/router, el cual puede estar incluido en el plan o ser adquirido por separado."
¿El equipo necesario para el internet está incluido en el precio del plan o se paga por separado?,"El costo del equipo puede estar incluido en el plan o pagarse por separado, dependiendo del plan seleccionado."
¿Ofrecen servicio técnico para la instalación de equipos?,"Sí, ofrecemos servicio técnico para la instalación de equipos. Puedes comunicarte con nuestro soporte técnico al 3188724601, 3163290810, o 3157155285."
¿Qué velocidad de descarga y carga ofrecen?,"Ofrecemos diversas velocidades de descarga y carga dependiendo del plan seleccionado, desde 2,000 Kbps hasta 6,000 Kbps."
¿Hay algún límite de datos en los planes de internet?,"No, nuestros planes de internet no tienen límites de datos. Puedes navegar sin restricciones."
¿Puedo cambiar de plan en cualquier momento?,"Sí, puedes cambiar de plan en cualquier momento. Solo necesitas contactarnos para gestionar el cambio."
¿El servicio de internet incluye Wi-Fi?,"Sí, nuestro servicio de internet incluye Wi-Fi para conectar múltiples dispositivos simultáneamente."
¿Cómo puedo contactar al servicio técnico si tengo problemas con mi internet?,"Puedes contactar a nuestro servicio técnico al 3188724601, 3163290810, o 3157155285."
¿Qué tipo de soporte técnico ofrecen y en qué horarios está disponible?,Ofrecemos soporte técnico telefónico y a través de WhatsApp. Nuestros horarios de atención son de lunes a viernes de 8:00 AM a 6:00 PM.
¿Cómo se manejan las interrupciones del servicio y cuánto tiempo suelen durar?,"Las interrupciones del servicio son manejadas por nuestro equipo técnico. En caso de una interrupción, nos esforzamos por resolver el problema en el menor tiempo posible."
¿Qué pasos debo seguir para cancelar mi servicio de internet?,"Para cancelar tu servicio de internet, contacta a nuestro equipo al 3168883324 y sigue las instrucciones proporcionadas."
¿Hay alguna penalización por cancelar el servicio antes de tiempo?,"No hay penalización por cancelar el servicio, a menos que exista una cláusula de permanencia en tu contrato."
¿Cómo devuelvo los equipos si decido cancelar el servicio?,"Puedes devolver los equipos contactando a nuestro soporte técnico al 3188724601, 3163290810, o 3157155285."
